year,make,model,forward_collision_warning,adaptive_cruise_control,lane_departure_warning,lane_keeping_assist,blind_spot_monitor,rear_cross_traffic_alert,backup_camera,adaptive_headlights,antilock_braking_system,automatic_emergency_braking,automatic_parallel_parking,backup_warning,bicycle_detection,brake_assist,curve_speed_warning,drowsiness_alert,electronic_stability_control,high_speed_alert,hill_descent_assist,hill_start_assist,left_turn_crash_avoidance,pedestrian_detection,push_button_start,sideview_camera,temperature_warning,tire_pressure_monitoring_system,traction_control,obstacle_detection
2016,Bentley,Flying Spur,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2016,BMW,2 Series,Option,Option,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,BMW,2 Series,Option,Option,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,BMW,2 Series,Option,Option,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,BMW,3 Series,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,BMW,3 Series,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,BMW,3 Series,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,BMW,4 Series,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,BMW,4 Series,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,BMW,4 Series,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,BMW,4 Series,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,BMW,5 Series,Option,Option,Option,Option,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,BMW,5 Series,Option,Option,Option,Option,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,BMW,5 Series,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,BMW,5 Series GranTurismo,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,BMW,5 Series GranTurismo,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,BMW,5 Series GranTurismo,Standard,Standard/Option,Standard,Unknown / Not Available,Standard,Standard,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,BMW,6 Series,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,BMW,6 Series,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,BMW,6 Series,Option,Option,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,BMW,6 Series,Option,Option,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2018,BMW,7 Series,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,BMW,7 Series,Standard,Standard/Option,Option,Option,Standard,Standard,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,BMW,7 Series ,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,BMW,7 Series ,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2019,BMW,8 Series,Standard,Standard/Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,BMW,i3,Option,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,BMW,i3,Option,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,BMW,i3,Option,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,BMW,i8,Standard,Standard/Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,BMW,i8,Standard,Standard/Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2018,BMW,i8,Standard,Standard/Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,BMW,M3,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,BMW,M3,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,BMW,M3,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,BMW,X1,Option,Option,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,BMW,X1,Option,Option,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,BMW,X1,Option,Option,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2018,BMW,X2,Option,Option,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,BMW,X3,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,BMW,X3,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,BMW,X3,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,BMW,X3,Standard,Standard/Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,BMW,X4,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,BMW,X4,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,BMW,X4,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,BMW,X4,Standard,Standard/Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,BMW,X5,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,BMW,X5,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,BMW,X5,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,BMW,X6,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,BMW,X6,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,BMW,X6,Option,Option,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,BMW,Z4,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,BMW,Z4,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Buick,Cascada,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Buick,Cascada,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Buick,Cascada,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Buick,Cascada,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Buick,Enclave,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Buick,Enclave,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Buick,Enclave,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Buick,Enclave,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Buick,Encore,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Buick,Encore,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Buick,Encore,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Buick,Encore,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Buick,Envision,Standard,Option,Standard,Standard,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Buick,Envision,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Buick,Envision,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Buick,Envision,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Buick,LaCrosse,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Buick,LaCrosse,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Buick,LaCrosse,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Buick,LaCrosse,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Buick,Regal,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Buick,Regal,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Buick,Regal,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2018,Buick,Regal TourX,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Buick,Verano,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Buick,Verano,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2016,Cadillac,ATS,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Cadillac,ATS,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Cadillac,ATS,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Cadillac,ATS-V,Option,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Cadillac,ATS-V,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Cadillac,ATS-V,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Cadillac,CT6,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Cadillac,CT6,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Cadillac,CT6,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Cadillac,CTS,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Cadillac,CTS,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Cadillac,CTS,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Cadillac,CTS-V,Standard,Unknown / Not Available,Standard,Standard,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Cadillac,CTS-V,Standard,Unknown / Not Available,Standard,Standard,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Cadillac,CTS-V,Standard,Unknown / Not Available,Standard,Standard,Standard,Standard,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Cadillac,ELR,Standard,Option,Standard,Unknown / Not Available,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Cadillac,Escalade,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Cadillac,Escalade,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Cadillac,Escalade,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Cadillac,SRX,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Cadillac,XT5,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Cadillac,XT5,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Cadillac,XT5,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Cadillac,XTS,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Cadillac,XTS,Option,Option,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Cadillac,XTS,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Bolt,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Bolt,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Camaro,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Camaro,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Camaro,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Colorado,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Colorado,Option,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Corvette,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Corvette,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Corvette,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Cruse Limited,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Cruze,Option,Unknown / Not Available,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Cruze,Option,Unknown / Not Available,Option,Option,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Cruze,Option,Unknown / Not Available,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Cruze Hatch,Option,Unknown / Not Available,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Chevrolet,Equinox,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Chevrolet,Equinox,Option,Unknown / Not Available,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Chevrolet,Equinox,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Chevrolet,Equinox,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
